,,https://www.msci.com/our-solutions/indexes/gics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Science-based Targets,,,,,,,,GHG Protocol,,,,,,,,,,,,,,,,,,,,,,,,GRI,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Near term - Target Status,Near term - Target Classification,Near term - Target Year,Long term - Target Status,Long term - Target Classification,Long term - Target Year,Net-Zero Committed,Net-Zero Year,Scope 1,Scope 2,,Scope 3,,,,,,,,,,,,,,,Totals,,,,,,,,,
Company Name,Sector,,,,,,,,,,Location-based,Market-based,Purchased goods and services,Capital goods,Fuel-and-energy-related activities,Upstream transportation and distribution,Waste,Business travel,Employee commuting,Upstream leased assets,Downstream transportation and distribution,Processing of sold products,Use of sold products,End-of-life treatment of sold products,Downstream leased assets,Franchises,Investments,Scope 1 + 2 total (lb),Scope 1 + 2 total (mb),Scope 3 total (lb),Scope 3 total (mb),Grand total (lb),Grand total (mb),Material topics,GRI disclosures,Stakeholders,GRI-index link
Agder Energi,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",Targets Set,1.5°C,"2030, 2025",,,,No,,6636,265,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6901,6651,2660,,9561,9311,"Anti-corruption, an attractive employer that supports professional development, biodiversity, breaches of laws and regulations, health and safety, greenhouse gas emissions, climate risk, working conditions and environmental impacts in supply chains, diversity and equal opportunity, economic impacts, impacts on the local community, the electric power/renewable energy industry",,"Employees, shareholders, customers, capital markets, advocacy organizations, government authorities, local community, partners",https://www.ae.no/globalassets/dokumenter/2021/agder-energi-sustainability-report-2021.pdf
Aker Carbon Capture,Construction and Engineering,Committed,,,,,,Yes,,0,"3,2","2,2",,,,,,,,,,,,,,,,"3,2","2,2","81,1","34,9","84,3","37,1","Carbon reduction and removal, Reducing our carbon footprint, Environmentally friendly technology, Technology & Innovation, Creating new opportunities in green growth markets, Diversity & inclusion, Well-being, health and safety for employees and through the value chain, Human rights and labor rights, Transparent and purpose-driven company culture, Responsible supply chain management, Strong governance and compliance",,"Employees, owners/shareholders, governments, regulators and Oslo Stock Exchange, Customers, Project partners and suppliers, non-governmental organizations, civil society, industry groups, local communities, banks",https://akercarboncapture.com/wp-content/uploads/2022/03/ACC-Annual-Integrated-Report-2021.pdf
Aker Horizons ASA,"Banks, Diverse Financials, Insurance",Committed,,,,,,Yes,,0,177776,N/A,,,,,,,,,,,,,,,,32857,N/A,60802,N/A,93659,N/A,"Planet-positive impact • Greenhouse gas emissions • Biodiversity • Waste management and circular economy • Water scarcity • Investments in cleantech and sustainable solutions • Environmental commitments Respect for people • Diversity, equality & inclusion • Human rights • Indigenous rights • Health & safety • Local communities • Talent attraction & retention • Employee well-being • Stakeholder engagement Prosperity for all • Employment and wealth generation • Technology innovation • Contribution to local communities • Green economic activity Good governance • Business ethics • Good corporate governance • Anti-corruption • Legal compliance • Tax transparency • ESG Board oversight & risk management • Executive compensation and remuneration • Active ownership: Promoting sustainability in portfolio companies • Risk management • Transparent disclosures • Integration of ESG issues in investment decision processes • Supply chain management of portfolio companies",,,
Aker Solutions,Construction and Engineering,Committed,,,,,,Yes,,10003,10831,45883,,,,,,3181,,,,,,,,,,20834,55886,3181,,24015,55886,,,,
Arendals Fossekompani ASA,"Banks, Diverse Financials, Insurance",Committed,,,,,,No,,1580,2819,,,,,,"9,4",,,,,,,,,,,4399,1580,"9,4",,"4408,4",1580,,,,
Atea,Software and Services,Targets Set,Well-below 2°C,2030,,,,No,,3406,2064,2879,783220,,1606,5270,243,1203,,,802,,,,,,,5470,6285,792344,,797814,6285,,,,
B2Holding ASA,"Banks, Diverse Financials, Insurance",Committed,,,,,,Yes,,428,538,,,,,,,1218,,,,,,,,,,966,428,1218,,2184,428,,,,
Borregaard AS,Chemicals,Targets Set,1.5°C,2030,Targets Set,1.5°C,2050,Yes,2050,153285,64818,,135429,1928,9750,10533,1937,136,1165,,126369,69598,,7400,,,,218103,153285,364245,,582348,153285,,,,
CEMAsys.com AS,Software and Services,Targets Set,1.5°C,2030,,,,Yes,,0,"1,7",,"19,3",,"0,5",,"0,9","0,1","0,1",,,,,,,,,"1,7",0,"20,9",,"22,6",0,,,,
Cermaq Group,Food Production - Animal Source Food Production,Targets Set,Well-below 2°C,2030,,,,No,,57734,16291,17842,,,,,,,,,,,,,,,,74025,75576,741089,,815114,75576,,,,
ColliCare Logistics AS,Ground Transportation - Railroads Transportation,Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Crayon Group Holding ASA,Software and Services,Committed,,,,,,Yes,,569,774,2193,,,,,62,548,,,,,,,,,,1343,2762,610,,1953,2762,,,,
DNV AS,Professional Services,Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Elopak AS,Containers and Packaging,Targets Set,1.5°C,2030,Targets Set,1.5°C,2050,Yes,2050,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
EV Private Equity,"Banks, Diverse Financials, Insurance",Targets Set,1.5°C,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Eviny AS,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
FSN Capital Partners,"Banks, Diverse Financials, Insurance",Targets Set,1.5°C,"2026, 2030",,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Gjensidige Insurance ASA,"Banks, Diverse Financials, Insurance",Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
GK Gruppen AS,Construction and Engineering,Committed,,,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Glamox,Electrical Equipment and Machinery,Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Grieg Seafood ASA,Food Production - Animal Source Food Production,Targets Set,Well-below 2°C,2030,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Hexagon Composites ASA,Electrical Equipment and Machinery,Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Höegh Autoliners,Water Transportation - Water Transportation,Targets Set,Well-below 2°C,2030,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Hurtigruten Group,"Hotels, Restaurants and Leisure, and Tourism Services",Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Kid ASA,Retailing,Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
KLP,"Banks, Diverse Financials, Insurance",Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Kongsberg Gruppen ASA,Electrical Equipment and Machinery,Committed,,,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Lerøy Seafood Group ASA,Food Production - Animal Source Food Production,Targets Set,1.5°C,2030,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Milarex,Food and Beverage Processing,Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Mills AS,Food and Beverage Processing,Targets Set,1.5°C,2026,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Mowi,Food Production - Animal Source Food Production,Targets Set,Well-below 2°C,2030,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Multiconsult ASA,Professional Services,Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
NITTON93 NORGE AS,"Trading Companies and Distributors, and Commercial Services and Supplies",Targets Set,1.5°C,2030,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Nordic Semiconductor ASA,Semiconductors and Semiconductors Equipment,Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Norsk Gjenvinning,Solid Waste Management Utilities,Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
OneCo AS,Electrical Equipment and Machinery,Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Orkla ASA,Food and Beverage Processing,Targets Set,1.5°C,2030,Targets Set,1.5°C,2045,Yes,2045,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Plantasjen Group AS,Retailing,Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Posten Norge AS,Air Freight Transportation and Logistics,Targets Set,1.5°C,2030,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
REMA 1000 NORGE AS,Retailing,Targets Set,1.5°C,2030,Targets Set,1.5°C,2050,Yes,2050,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
SalMar ASA,Food Production - Animal Source Food Production,Targets Set,1.5°C,2030,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Scatec ASA,"Electric Utilities and Independent Power Producers and Energy Traders (including fossil, alternative and nuclear energy)",Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Sparebanken Vest,"Banks, Diverse Financials, Insurance",Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Stokke AS,"Consumer Durables, Household and Personal Products",Targets Set,1.5°C,2030,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Storebrand ASA,"Banks, Diverse Financials, Insurance",Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Telenor Group,Telecommunication Services,Targets Set,1.5°C,"2030, 2025",,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
TOMRA Systems ASA,Technology Hardware and Equipment,Committed,,,,,,Yes,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Varner AS,Retailing,Committed,,,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Veidekke ASA,Construction and Engineering,Targets Set,1.5°C,2030,Targets Set,1.5°C,2045,Yes,2045,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Vestre AS,"Consumer Durables, Household and Personal Products",Targets Set,1.5°C,2030,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Wallenius Wilhelmsen,Water Transportation - Water Transportation,Committed,,,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,
Yara International ASA,Chemicals,Committed,,,,,,No,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,,,,